Date,px_last
12/22/2022,3822.39
12/21/2022,3878.44
12/20/2022,3821.62
12/19/2022,3817.66
12/16/2022,3852.36
12/15/2022,3895.75
12/14/2022,3995.32
12/13/2022,4019.65
12/12/2022,3990.56
12/9/2022,3934.38
12/8/2022,3963.51
12/7/2022,3933.92
12/6/2022,3941.26
12/5/2022,3998.84
12/2/2022,4071.7
12/1/2022,4076.57
11/30/2022,4080.11
11/29/2022,3957.63
11/28/2022,3963.94
11/25/2022,4026.12
11/23/2022,4027.26
11/22/2022,4003.58
11/21/2022,3949.94
11/18/2022,3965.34
11/17/2022,3946.56
11/16/2022,3958.79
11/15/2022,3991.73
11/14/2022,3957.25
11/11/2022,3992.93
11/10/2022,3956.37
11/9/2022,3748.57
11/8/2022,3828.11
11/7/2022,3806.8
11/4/2022,3770.55
11/3/2022,3719.89
11/2/2022,3759.69
11/1/2022,3856.1
10/31/2022,3871.98
10/28/2022,3901.06
10/27/2022,3807.3
10/26/2022,3830.6
10/25/2022,3859.11
10/24/2022,3797.34
10/21/2022,3752.75
10/20/2022,3665.78
10/19/2022,3695.16
10/18/2022,3719.98
10/17/2022,3677.95
10/14/2022,3583.07
10/13/2022,3669.91
10/12/2022,3577.03
10/11/2022,3588.84
10/10/2022,3612.39
10/7/2022,3639.66
10/6/2022,3744.52
10/5/2022,3783.28
10/4/2022,3790.93
10/3/2022,3678.43
9/30/2022,3585.62
9/29/2022,3640.47
9/28/2022,3719.04
9/27/2022,3647.29
9/26/2022,3655.04
9/23/2022,3693.23
9/22/2022,3757.99
9/21/2022,3789.93
9/20/2022,3855.93
9/19/2022,3899.89
9/16/2022,3873.33
9/15/2022,3901.35
9/14/2022,3946.01
9/13/2022,3932.69
9/12/2022,4110.41
9/9/2022,4067.36
9/8/2022,4006.18
9/7/2022,3979.87
9/6/2022,3908.19
9/2/2022,3924.26
9/1/2022,3966.85
8/31/2022,3955
8/30/2022,3986.16
8/29/2022,4030.61
8/26/2022,4057.66
8/25/2022,4199.12
8/24/2022,4140.77
8/23/2022,4128.73
8/22/2022,4137.99
8/19/2022,4228.48
8/18/2022,4283.74
8/17/2022,4274.04
8/16/2022,4305.2
8/15/2022,4297.14
8/12/2022,4280.15
8/11/2022,4207.27
8/10/2022,4210.24
8/9/2022,4122.47
8/8/2022,4140.06
8/5/2022,4145.19
8/4/2022,4151.94
8/3/2022,4155.17
8/2/2022,4091.19
8/1/2022,4118.63
7/29/2022,4130.29
7/28/2022,4072.43
7/27/2022,4023.61
7/26/2022,3921.05
7/25/2022,3966.84
7/22/2022,3961.63
7/21/2022,3998.95
7/20/2022,3959.9
7/19/2022,3936.69
7/18/2022,3830.85
7/15/2022,3863.16
7/14/2022,3790.38
7/13/2022,3801.78
7/12/2022,3818.8
7/11/2022,3854.43
7/8/2022,3899.38
7/7/2022,3902.62
7/6/2022,3845.08
7/5/2022,3831.39
7/1/2022,3825.33
6/30/2022,3785.38
6/29/2022,3818.83
6/28/2022,3821.55
6/27/2022,3900.11
6/24/2022,3911.74
6/23/2022,3795.73
6/22/2022,3759.89
6/21/2022,3764.79
6/17/2022,3674.84
6/16/2022,3666.77
6/15/2022,3789.99
6/14/2022,3735.48
6/13/2022,3749.63
6/10/2022,3900.86
6/9/2022,4017.82
6/8/2022,4115.77
6/7/2022,4160.68
6/6/2022,4121.43
6/3/2022,4108.54
6/2/2022,4176.82
6/1/2022,4101.23
5/31/2022,4132.15
5/27/2022,4158.24
5/26/2022,4057.84
5/25/2022,3978.73
5/24/2022,3941.48
5/23/2022,3973.75
5/20/2022,3901.36
5/19/2022,3900.79
5/18/2022,3923.68
5/17/2022,4088.85
5/16/2022,4008.01
5/13/2022,4023.89
5/12/2022,3930.08
5/11/2022,3935.18
5/10/2022,4001.05
5/9/2022,3991.24
5/6/2022,4123.34
5/5/2022,4146.87
5/4/2022,4300.17
5/3/2022,4175.48
5/2/2022,4155.38
4/29/2022,4131.93
4/28/2022,4287.5
4/27/2022,4183.96
4/26/2022,4175.2
4/25/2022,4296.12
4/22/2022,4271.78
4/21/2022,4393.66
4/20/2022,4459.45
4/19/2022,4462.21
4/18/2022,4391.69
4/14/2022,4392.59
4/13/2022,4446.59
4/12/2022,4397.45
4/11/2022,4412.53
4/8/2022,4488.28
4/7/2022,4500.21
4/6/2022,4481.15
4/5/2022,4525.12
4/4/2022,4582.64
4/1/2022,4545.86
3/31/2022,4530.41
3/30/2022,4602.45
3/29/2022,4631.6
3/28/2022,4575.52
3/25/2022,4543.06
3/24/2022,4520.16
3/23/2022,4456.24
3/22/2022,4511.61
3/21/2022,4461.18
3/18/2022,4463.12
3/17/2022,4411.67
3/16/2022,4357.86
3/15/2022,4262.45
3/14/2022,4173.11
3/11/2022,4204.31
3/10/2022,4259.52
3/9/2022,4277.88
3/8/2022,4170.7
3/7/2022,4201.09
3/4/2022,4328.87
3/3/2022,4363.49
3/2/2022,4386.54
3/1/2022,4306.26
2/28/2022,4373.94
2/25/2022,4384.65
2/24/2022,4288.7
2/23/2022,4225.5
2/22/2022,4304.76
2/18/2022,4348.87
2/17/2022,4380.26
2/16/2022,4475.01
2/15/2022,4471.07
2/14/2022,4401.67
2/11/2022,4418.64
2/10/2022,4504.08
2/9/2022,4587.18
2/8/2022,4521.54
2/7/2022,4483.87
2/4/2022,4500.53
2/3/2022,4477.44
2/2/2022,4589.38
2/1/2022,4546.54
1/31/2022,4515.55
1/28/2022,4431.85
1/27/2022,4326.51
1/26/2022,4349.93
1/25/2022,4356.45
1/24/2022,4410.13
1/21/2022,4397.94
1/20/2022,4482.73
1/19/2022,4532.76
1/18/2022,4577.11
1/14/2022,4662.85
1/13/2022,4659.03
1/12/2022,4726.35
1/11/2022,4713.07
1/10/2022,4670.29
1/7/2022,4677.03
1/6/2022,4696.05
1/5/2022,4700.58
1/4/2022,4793.54
1/3/2022,4796.56
12/31/2021,4766.18
12/30/2021,4778.73
12/29/2021,4793.06
12/28/2021,4786.35
12/27/2021,4791.19
12/23/2021,4725.79
12/22/2021,4696.56
