Date,px_last
12/23/2022,1760.932
12/22/2022,1754.086
12/21/2022,1776.941
12/20/2022,1748.017
12/19/2022,1738.581
12/16/2022,1763.42
12/15/2022,1774.606
12/14/2022,1820.454
12/13/2022,1832.362
12/12/2022,1818.614
12/9/2022,1796.661
12/8/2022,1818.29
12/7/2022,1806.901
12/6/2022,1812.575
12/5/2022,1840.222
12/2/2022,1892.839
12/1/2022,1881.678
11/30/2022,1886.577
11/29/2022,1836.551
11/28/2022,1830.964
11/25/2022,1869.191
11/23/2022,1863.517
11/22/2022,1860.441
11/21/2022,1839.141
11/18/2022,1849.732
11/17/2022,1839.123
11/16/2022,1853.165
11/15/2022,1889.204
11/14/2022,1861.251
11/11/2022,1882.74
11/10/2022,1867.927
11/9/2022,1760.4
11/8/2022,1808.929
11/7/2022,1809.81
11/4/2022,1799.866
11/3/2022,1779.73
11/2/2022,1789.137
11/1/2022,1851.388
10/31/2022,1846.863
10/28/2022,1846.921
10/27/2022,1806.322
10/26/2022,1804.331
10/25/2022,1796.155
10/24/2022,1748.397
10/21/2022,1742.238
10/20/2022,1704.391
10/19/2022,1725.756
10/18/2022,1755.956
10/17/2022,1735.753
10/14/2022,1682.403
10/13/2022,1728.412
10/12/2022,1687.764
10/11/2022,1692.916
10/10/2022,1691.919
10/7/2022,1702.15
10/6/2022,1752.513
10/5/2022,1762.694
10/4/2022,1775.766
10/3/2022,1708.87
9/30/2022,1664.716
9/29/2022,1674.931
9/28/2022,1715.243
9/27/2022,1662.509
9/26/2022,1655.882
9/23/2022,1679.59
9/22/2022,1722.31
9/21/2022,1762.158
9/20/2022,1787.504
9/19/2022,1812.843
9/16/2022,1798.189
9/15/2022,1825.234
9/14/2022,1838.464
9/13/2022,1831.575
9/12/2022,1906.086
9/9/2022,1882.848
9/8/2022,1846.906
9/7/2022,1832.003
9/6/2022,1792.323
9/2/2022,1809.748
9/1/2022,1822.818
8/31/2022,1844.115
8/30/2022,1855.594
8/29/2022,1882.941
8/26/2022,1899.83
8/25/2022,1964.636
8/24/2022,1935.286
8/23/2022,1919.143
8/22/2022,1915.743
8/19/2022,1957.346
8/18/2022,2000.729
8/17/2022,1987.314
8/16/2022,2020.529
8/15/2022,2021.346
8/12/2022,2016.616
8/11/2022,1975.257
8/10/2022,1969.249
8/9/2022,1912.891
8/8/2022,1941.206
8/5/2022,1921.824
8/4/2022,1906.456
8/3/2022,1908.925
8/2/2022,1882.449
8/1/2022,1883.313
7/29/2022,1885.23
7/28/2022,1873.027
7/27/2022,1848.339
7/26/2022,1805.246
7/25/2022,1817.773
7/22/2022,1806.881
7/21/2022,1836.693
7/20/2022,1827.948
7/19/2022,1799.324
7/18/2022,1738.417
7/15/2022,1744.373
7/14/2022,1707.505
7/13/2022,1726.036
7/12/2022,1728.182
7/11/2022,1732.008
7/8/2022,1769.365
7/7/2022,1769.604
7/6/2022,1727.547
7/5/2022,1741.33
7/1/2022,1727.757
6/30/2022,1707.99
6/29/2022,1719.37
6/28/2022,1738.841
6/27/2022,1771.742
6/24/2022,1765.737
6/23/2022,1711.673
6/22/2022,1690.277
6/21/2022,1694.031
6/17/2022,1665.694
6/16/2022,1649.836
6/15/2022,1731.139
6/14/2022,1707.829
